From Site,To Site,Cost
TIGER,PAQUIN,10
PAQUIN,TIGER,20
FSW,PAQUIN,10
PAQUIN,FSW,20
PAQUIN APTS,PAQUIN,10
PAQUIN,PAQUIN APTS,20
Paquin F12,PAQUIN APTS,20
Paquin F10,PAQUIN APTS,20
Paquin F13,PAQUIN APTS,20
Paquin F14,PAQUIN APTS,20
Paquin F02,PAQUIN APTS,20
Paquin F07,PAQUIN APTS,20
Paquin F04,PAQUIN APTS,20
Paquin F09,PAQUIN APTS,20
Paquin F15,PAQUIN APTS,20
Paqiom F11,PAQUIN APTS,20
CALVIN,PAQUIN,10
WHITTWORTH,CALVIN,20
CALVIN,WHITTWORTH,30
WHITWORTH s3 u58 120SW,WHITTWORTH,30
WHITWORTH s1 u58 120N,WHITTWORTH,30
WHITWORTH s2 u58 120SE,WHITTWORTH,30
PAQUIN,CALVIN,20
CALVIN s5 u58 120SE,CALVIN,20
"(Generated Site) Bailey, Gail",CALVIN s5 u58 120SE,30
CALVIN,"(Generated Site) Bailey, Gail",40
CALVIN 2,CALVIN,20
GIESSMANN,CALVIN 2,30
CALVIN,GIESSMANN,40
GIESSMANN s1 u58 Omni,GIESSMANN,40
"(Generated Site) Spencer, Gayla",GIESSMANN s1 u58 Omni,50
GIESSMANN,"(Generated Site) Spencer, Gayla",60
"(Generated Site) Barnett, III, Ewin H.",CALVIN 2,30
CALVIN,"(Generated Site) Barnett, III, Ewin H.",40
CALVIN s7 v58 LOW-120N,CALVIN,20
"(Generated Site) Sherman, Ron",CALVIN s7 v58 LOW-120N,30
CALVIN,"(Generated Site) Sherman, Ron",40
CALVIN s9 u58 LOW-120W,CALVIN,20
CALVIN 4,CALVIN,20
CALVIN 3,CALVIN,20
CALVIN s6-120,CALVIN,20
CALVIN 1,CALVIN,20
"(Generated Site) Severs, Loren",CALVIN 1,30
CALVIN,"(Generated Site) Severs, Loren",40
Calvin Medusa,CALVIN,20
"(Generated Site) Craig, Terry",Calvin Medusa,30
CALVIN,"(Generated Site) Craig, Terry",40
TONY,Calvin Medusa,30
CALVIN,TONY,40
TONY s1 u58 Omni AC,TONY,40
BUCKNER,Calvin Medusa,30
CALVIN,BUCKNER,40
BUCKNER s1 u58 360,BUCKNER,40
"(Generated Site) Kennish, Mike",Calvin Medusa,30
CALVIN,"(Generated Site) Kennish, Mike",40
ROBS,PAQUIN,10
PAQUIN,ROBS,20
ROB s1 u58 Omni,ROBS,20
"(Generated Site) Paul, Andrea",ROB s1 u58 Omni,30
ROBS,"(Generated Site) Paul, Andrea",40
DOUGLAS,PAQUIN,10
GRAINLEG,DOUGLAS,20
WOOLWATER,GRAINLEG,30
GRAINLEG,WOOLWATER,40
PAQUIN,WOOLWATER,40
